"Title","Alternative Title","Copyright","Author(s)","Song Book","Topic"
"WINGS OF PRAISE","","","Carl Boberg","",""
"With all my heart (When in despair)","","© Stephen McGregor/Remission Music UK","Steve McGregor","",""
"With broken heart and contrite sigh","","","Cornelius Elven  (1797-1873)","",""
"With Christ in my vessel (E)","","","Carl Boberg","",""
"With Christ in my vessel (F)","","","Carl Boberg","",""
"With harps and with viols","","Public Domain","Arthur  T  Pearson (1837-1911)","",""
"Within the veil: Be this beloved thy portion","","","Don Moen","",""
"With my hands lifted up (G)","","","Carl Boberg","",""
"Without Him I can do nothing(Jesus O Jesus)-(G)","","","Carl Boberg","",""
"Wonderful birth to a manger He came","","","A H Ackley","",""
"Wonderful love does Jesus show","","","W J Stuart","",""
"Wonderful love that rescued me","","","Constance B Reid","",""
"Wonderful, Wonderful,Jesus is to me (D)","","","Carl Boberg","",""
"Wondrous Love of Jesus spread the news around","","","J G Badger","",""
"Won't You Lord  (we want to run to the altar)","","","Carl Boberg","",""
"Worthy is the Lamb Worthy is the Lamb","","","Carl Boberg","",""
"WORTHY OF GLORY","","","Carl Boberg","",""
"Worthy O worthy (E)","","","Carl Boberg","",""
"Worthy, You are worthy (A)","","","Carl Boberg","",""
"Would you be free from your burden of sin","","","L E Jones","",""
"Wounded For Me","","Public Domain","GWR","",""
"2 - Yahova Prabhu Tune","","","Carl Boberg","",""
"Years I spent in vanity and pride (C)","","","Carl Boberg","",""
"Ye gates lift up your heads on high","","","Psalm 24 (Scottish Psalter)","",""
"Ye Holy Angels Bright","","","Richard Baxter","",""
"Ye Holy Angels Bright","","Public Domain","Richard Baxter | John H. Gurney & Richard R. Chope altd","",""
"Ye Servants Of God","","Public Domain","Martin J. Nystrom","",""
"Yes God is good","","Public Domain","John Hampden Gurney","",""
"2 - Yeshu ka naam hei, saari zami (D)","","","Carl Boberg","",""
"2 - Yeshu Masih deta khushi (E)","","","Carl Boberg","",""
"2 = Yeshu Prabhu Yeshu (D)","","","Carl Boberg","",""
"2 - Yeshu Tu Hai Mahan (C)","","","Carl Boberg","",""
"Yesterday Today Forever","","","Carl Boberg | Krystin Getty","",""
"Yield not to temptation for yielding is sin (A)","","","H R Palmer","",""
"Yield not to temptation for yielding is sin","","","H R Palmer","",""
"Yield not to temptation (Hindi)","","H.R. Palmer -1868","Carl Boberg","",""
"You are beautiful beyond description (A)","","","Carl Boberg","",""
"You are faithful to lead us on (Faithful To Lead Us On)","","","Carl Boberg","",""
"You are forever in my life (Through it all)","","","Carl Boberg","",""
"You Are Holy You are Mighty","","","Carl Boberg","",""
"You are Lord of creation (We Bow Down)","","","Carl Boberg","",""
"You Are My God","","","Carl Boberg","",""
"You are my strength (All in all) (E)","","","Carl Boberg","",""
"You are the King of Glory","","","Unknown","",""
"You are the rock of my salvation","","","Carl Boberg","",""
"You are the Vine, we are the branches","","","Danny Daniels/Randy Rigby","",""
"You ask me why I see no charm nor glory","","","E M Govan","",""
"You did not wait for me (A)","","","Carl Boberg","",""
"You have called us (We Will Meet You There)","","","Carl Boberg","",""
"You Have Given Me New Life","","1998 Thankyou Music","Nathan & David Fellingham","",""
"You Have Given Me the Oil of Gladness","","","Carl Boberg","",""
"You Make Me Lie Down","","","Carl Boberg","",""
"You May Think It's Foolish(BORN AGAIN)","","","Evie Karlsonn","",""
"Your Cries Have Awoken The Master","","","Sonya and Becky Isaacs","",""
"You’re starting, my boy-(HAVE COURAGE TO SAY NO!)","","","Ho­ra­tio R. Palm­er","",""
"You're The Word of God","","","Stuart Townsend","",""
"Your Grace Is Sufficient","","","Carl Boberg","",""
"Your life laid down crucified (Child of God)","","","Carl Boberg","",""
"Your Only Son (Lamb Of God)","","1985 Straightway Music/EMI Christian Music Publishing admin by CopyCare","Twila Paris","",""
"Your the word of God the Father","","","Stuart Townend","",""
"You said (G)","","","Carl Boberg","",""
"You said you'd come (F)","","","Carl Boberg","",""
"You say the harvest is plentiful (Ready And Willing)","","","Carl Boberg","",""
"You sit in beauty on your glorious (D)","","","Carl Boberg","",""
"You were despised (Highly exalted) (E)","","","Carl Boberg | Robin Mark","",""
"Zacchaeus was a wee little man","","","Carl Boberg","",""
"Forever God is faithful","","","Chris Tomlin","",""
"For your faithfulness","","","Robin Mark","",""
"All is well","","","Robin Mark","",""
"Sovereign","","","Chris Tomlin","",""
"Let the weak say i am strong","","","Unknown","",""
"2 - Shunya se le ke tune mujhe","","","Unknown","",""
"I have joy joy joy joy down in my heart","","","Unknown","",""
"Silver and Gold","","","Unknown","",""
"Holy is our god (A)","","","Robin Mark","",""
"Thank You Jesus","","","Alison Huntley","",""
"Praise Him You heavens (C)","","","hillsong","",""
"All that thrills my soul","","","Unknown","",""
"2 - Prabhu mera Charvaha","","","Unknown","",""
"2 - kushi kushi manao","","","Unknown","",""
"Lord I stand in the midst","","","Unknown","",""
"jesus the very thought of thee","","","Bernard of Clairvaux (1091-1153)","",""
"The BIBLE","","","Unknown","",""
"from glory to glory","","","Unknown","",""
"He's able He's able I know my God is able","","","Unknown","",""
"Jesus your the sweetest name of all","","","Unknown","",""
"Who who is like unto thee","","","Unknown","",""
"I am happy today","","","Unknown","",""
"It is no secret what God can do (C)","","","Zac Poonen","",""
"Come Bless The Lord","","","Unknown","",""
"2 = Yeshu tu mahaan hai","","","Unknown","",""
"Neele aasma ke par","","","Unknown","",""
"God's name is holy","","","Unknown","",""
"Be Thou My Vision","","","Unknown","",""
"When I stand before Your throne","","","Jack Hayford","",""
"I am saved i am saved","","","Unknown","",""
"Medly","","","Teja","",""
"2 - Yeshu hai sacha gadariya","","","Unknown","",""
"2 - Yehova charvaha mera","","","Unknown","",""
"You are my hiding place","","","Unknown","",""
"Are you looking for the fullness of the blessing of the lord","","","Unknown","",""
"Jesus shall take the highest honour","","","Unknown","",""
"Jesus is the joy of living","","","Unknown","",""
"Power of the cross","Oh to see the dawn","","Unknown","",""
"All Hail the Lamb","","","Robin Mark","",""
"All hail the pow’r of Jesus’ Name! (2 lines)","","","Rich Mullins","",""
"Our Father","","","Unknown","",""
"Yeshu Masih Tere Jaisa (Hum Gaaye Hosanna) (G)","","",".Hindi","",""
"glory in the highest","","","Unknown","",""
"2 - Light of the world (hindi) (E)","","","Unknown","",""
"rise and shine","","","Unknown","",""
"Thank you lord","","","Don Moen","",""
"2 - Pavan Hai Woh Prabhu humaara","","","Unknown","",""
"Are You Lord God Almighty reigns","","","Unknown","",""
"For the lord is my tower","","","Unknown","",""
"Romans 16:19","","","Unknown","",""
"Sharon ka gulab","","","Unknown","",""
"Christ the lord has risen today","","","Unknown","",""
"Lord Reign In Me","","","Unknown","",""
"Beautiful one","","","Unknown","",""
"The blood of jesus speaks to me","","","Unknown","",""
"As we gather in this place today","","","Don Moen","",""
"God still loves the world","","","Unknown","",""
"caste your burdens","","","Unknown","",""
"Who Is There Like You","","","Unknown","",""
"God's Love is Wonderful","","","Unknown","",""
"A gift to you","","","Unknown","",""
"How Beautiful Heaven must be","","","Unknown","",""
"He knows my Name","","","Unknown","",""
"I may never March","","","Unknown","",""
"Shackled by a Heavy Burden","","","Unknown","",""
"2 - Aradhana keru","","","Unknown","",""
"2 - Tu bade main ghatu","","","Unknown | Shelley Reddy","",""
"CHRIST IS RISEN, HE IS RISEN INDEED","","","Unknown","",""
"HOLY SPIRIT, LIVING BREATH OF GOD","","","Unknown","",""
"YOUR GREAT NAME","","","Unknown","",""
"GLORY TO GOD FOREVER","","","Unknown","",""
"STRONGER","","","Unknown","",""
"HE NEVER SLEEPS","","","Unknown","",""
"BE GLORIFIED","","","Unknown","",""
"2 - TU PUKARE MAIN AAU","","","Unknown","",""
"2 - Sukriya Kya De Sakta Hu","","","Unknown","",""
"And Can I Be That I Should Gain","","","Ur Williams Tans  (Paraphrase 48","",""
"Celebrate Celebrate the victory","","","Ur Williams Tans  (Paraphrase 48","",""
"O Aakash Surya Chandrama (G/A)","","","Hindi","",""
"2 - Mera Yeshu Tere Jaisa Kohi Nahi","","","Unknown","",""
" 2 - Mera Yeshu Mera Yeshu मेरे यीशु मेरे यीशु तेरे जैसा कोई नहीं","","","Unknown","",""
"Mighty to save","","","hillsong","",""
"Good Good Father","","","Unknown","",""
"Still","","","hillsong","",""
"What a Beautiful name it is","","","hillsong","",""
"2 - Aaradhna Karu","","","Unknown","",""
"My hope is built on nothing less","","","Unknown","",""
"2 - Mere Yeshu Mere YeshuTere Je sa","","","Unknown","",""
"2 - Yeshu naam Yeshu naam (Chahe tumhe)","","","Unknown","",""
"2 - Dhanyavad Ke saat","","","Unknown","",""
"2 - Is Choti Jeevan Gaadi","","","Unknown","",""
"He that Believeth","","","Unknown","",""
"Anytime and Anywhere I can pray","","","Unknown","",""
"Everybody Everywhere","","","Unknown","",""
"I cast all my cares upon you","","","Unknown","",""
"2 - Chakkar maine jaana hai","","","Unknown","",""
"Saare aashishon ke","","","Unknown | Hindi","",""
"2 - Maine Pucha Prabhu se (E)","","","Unknown","",""
"I am a Christian","","","Unknown","",""
"I am so glad that our Father","","","Unknown","",""
"2 - Jaise aaj Yeshu hai","","","Unknown","",""
"Jesus wants me for a Sunbeam","","","Unknown","",""
"2 - Yehova Mera Charwaha","","","Unknown","",""
"Jump Jump","","","Unknown","",""
"This is my desire","","","Unknown","",""
"2 - Pavan hai ye Prabhu humara","","","Unknown","",""
"2 - Mere maan tu Stuti Kar sada","","","Unknown","",""
"2 - Mushkile Kitne Bhi ho (E)","","","Unknown","",""
"2 - Mera Ek hi Mitra","","","Unknown","",""
"2 - Aati Sundar tu","","","Unknown","",""
"Tere Lahu se muje","","","Unknown","",""
"2 - Jo Krus Pe Kurban","","","Unknown","",""
"2 - Mere Jeevan ka Maksad","","","Unknown","",""
"2 - Mera ek he mitra ( I have found a friend) (D)","","","Unknown","",""
"2 - Mere liye teri Kalpanaye","","","Unknown","",""
"Tali bajayenge","","","Unknown","",""
"Teri Iccha Puri hojaye","","","Unknown","",""
"it’s bubbling","","","Unknown","",""
"2 - Apno ko tho","","","Unknown","",""
"I've got something","","","Unknown","",""
"2 - Yeshu ne apna khoon bahaya","","","Unknown","",""
"YOU ARE MY REFUGE,YOU ARE MY FORTRESS","","","unknow alice","",""
"2 -  I have found a Friend (Hindi) मेरा एक ही मित्र यीशु","","","kiran  hindi","",""
"2 - Mere Gunaho ko dho Diya","","",".Hindi","",""
"There were one, two, three lepers","","","B.E.","",""
"I am a C","","","B.E.","",""
"2 - Anokha krus jab dektha hun","","","hindi","",""
"My life is in You Lord","","","english","",""
"Thy loving kindness","","","english","",""
"ALL THAT I HAVE","","","english","",""
"2 - Mera yeshu masih मेरा यीशु मसीह जब दुनियां","","","hindi children","",""
"Making melody in our hearts","","","english","",""
"Peter, James and John went sailing in the sailboat","","","english","",""
"2 - Halleluiyah stuti gaye (A)","","","Carl Boberg","",""
"A Sinner Saved By Grace - Zac Poonen","","","english","",""
"2 - Yatri hoon me jag me Prabhuji HINDI","","","hindi","",""
"All the way my Savior leads me,","","","Frances J. Crosby","",""
"2 -  Dhaud ne दाऊद ने गोलियात को  (hindi)","","","children hindi","",""
"Dhanyavad ke saath stuti gaunga (C)","","","Hindi","",""
"Kiti anand ha","","","Marathi","",""
"Tum jagat ki jyoti ho (E)","","","Shishya Thompson","",""
"Mere Yeshu (E/F)","","","Hindi","",""
"Marathi_MV_1_March_2020","","","Memory Verse","",""
"English_MV_1_March_2020","","","Memory Verse","",""
"Hindi_MV_1_March_2020","","","Memory Verse","",""
"Ha! Yeshu accha hai (E)","","","Hindi","",""
"Teri Huzuri me aata hu (F/G)","","","Hindi","",""
"Tu Pavitra Pavitra Hai (Dm)","","","Hindi","",""
"He Prabhu Tere Aur Karib","","","Hindi","",""
"English_MV_8_March_2020","","","Memory Verse","",""
"Marathi_MV_8_March_2020","","","Memory Verse","",""
"Hindi_MV_8_March_2020","","","Memory Verse","",""
"He Swargiya Pita","","","Hindi","",""
"Duniya Bananewale Teri Jay Ho","","","Hindi","",""
"Tujhyasamaan Koni Nahi (E)","","","Marathi","",""
"Meri Chinta Karnewala","","","Hindi","",""
"Karta Hu Mai Teri Chinta (C)","","","Hindi","",""
"Anokha Pyar Hai Tera NCVersion (E)","","","Hindi","",""
"Aaj Teri Shifa Chahiye (D)","","","Hindi","",""
"Mastake Unch Kara (F)","","","Marathi","",""
"English_MV_15_March_2020","","","Memory Verse","",""
"Marathi_MV_15_March_2020","","","Memory Verse","",""
"Hindi_MV_15_March_2020","","","Memory Verse","",""
"Us Krus Ki Kya Baat Hai (D)","","","Hindi","",""
"I Will Enter His Gates (Medley) (C)","","","Unknown","",""
"Aao Pawan Aatma (Cm)","","","Suhas Samudre","",""
"God Is Moving All The Time","","","Unknown","",""
"Who is like unto thee","","","Judy Horner Montemayor","",""
"mv","","","mv","",""
"King of Kings, Majesty (A)","","","Unknown","",""
"Yeshu kaisa Dost hai pyaara","","","Unknown","",""
"i know not why","","","Unknown","",""
"Come Thou Fount Of","","","Unknown","",""
"Wonderful Merciful Savior (C)","","","Unknown","",""
"Jesus is the name we honor","","","Unknown","",""
"There's No Greater Name Than Jesus","","","Michael Baughen","",""
"Yeshu hai meri Panaah","","","Unknown","",""
"Senaonka Yehowa humaare sang","","","Unknown","",""
"He Poured in the oil and the wine","","","english","",""
"He is Lord","","","Unknown","",""
"Tu bhalai bina kuch karta nahi","","","Unknown","",""
"Yeshu ko pa liya","","","Unknown","",""
"It will be worth it all","","","Unknown","",""
"Yet not I but through Christ in me","","","Unknown","",""
"Kabhi bhi Yeshu na chodega (G)","","","Unknown","",""
"I do not know how long I live","","","Zac Poonen","",""
"Abide With Me","","","Henry Francis Lyte","",""
"2 - Chakh kar maine jaana hai (C)","","","Unknown","",""
"2 - Mera Yishu He Mujhko Bhala","","","2","",""
"I Want To Worship The Lord","","","2","",""
"Gods way is best","","","Charles W. Naylor","",""
"Krus se behti aati hai","","","Unknown","",""
"Tera hu hai rab","","","Fanny Crossby","",""
"Prabhu ka dhanyavad karunga (C)","","","Unknown","",""
"His mercy is more","","","Unknown","",""
"Tu hai kaabil","","","Unknown","",""
"Mai tere sang hu mat dar","","","Unknown","",""
"Yeshu mera charwaha","","","Unknown","",""
"Gaunga me Prabhu ke geet","","","Unknown","",""
"Oh Glory To God","","","Unknown","",""
"You deserve the Glory","","","Gary Sadler, Aaron Keyes","",""
"I will serve Thee","","","William J. Gaither and Gloria Gaither","",""
"You deserve the Glory","","","Gary Sadler, Aaron Keyes","",""
"You deserve the Glory","","","Gary Sadler, Aaron Keyes","",""
"Krus ke liye Dhanyavad","","","Unknown","",""
"You deserve the Glory","","","Gary Sadler, Aaron Keyes","",""
"New Song","","","Unknown","",""
"Grace Unmeasured","","","Bob Kauflin","",""
"Lord Let Me Love When People Are Unthankful","","","Unknown","",""
"1 - The trusting heart to Jesus clings (F)","","","Carl Boberg","",""
"2 - Tum jagat ki jyoti ho","","","hindi","",""
"2 - Aadi aur ant tu hee hei (C)","","","Carl Boberg","",""
"You deserve the glory and the honor","","","Unknown","",""
"I will serve Thee because I love Thee","","","William J. Gaither and Gloria Gaither","",""
"Wo Khuda(Yeshu) Mera Charvaha Hai","","","Anil Kant","",""
"We Crown You Now","","","Lara Martin","",""
"Tu Mera Sharansthaan (You are my Refuge hindi)","","","Unknown","",""
"Ek Maa Ki Tarah","","","Unknown","",""
"Though some may sing | It's in my heart","","","Arthur Slater","",""
"He will hold me fast","","","Ada Habershon / Matt Merker","",""
"Yeshu ne kalvary dukh kyo seh liya","","","Unknown","",""
"Captivated By His Beauty","","","Ora Rowan","",""
"Prarthana me jo kuch manga","","","Unknown","",""
"Humko mili hai shanti","","","Unknown","",""
"He Took My Sins Away","","","Margaret Harris","",""
"Sada Mai Stuti Karunga","","","Unknown","",""
"Zindagi Meri Badal Gayi","","","Unknown","",""
"mere paas hi rehna","","","Unknown","",""
"Whatever My God Ordains Is Right","","","Samuel Rodigast translated by Catherine Winkworth","",""
"Vo Kitna Gehra Pyar Yeshu Masih Kah (Em)","","","Unknown","",""
"2 - Siyon Desh Hamara He Desh","","",".Hindi","",""
"2 -Yeshu Masih tere jaisa (Hum gaaye hosanna) (G)","","",".Hindi","",""
"Mahima Ke Yogya Tu Eng-Hindi (C)","","","Unknown","",""
"Memory Children","","","Unknown","",""
"Bible And I","","","Unknown","",""
"Gaunga mai Tere hi Geet","","","Unknown","",""
"Oh Lord all the world belongs to You","","","Unknown","",""
"Tu Pyar Ka Sagar","","","Unknown","",""
"birthday","","","Unknown","",""
"O How I Love Jesus","","","Unknown","",""
"Yeshu Hai Kaisa Kumhar","","","Unknown","",""
"With Jesus in the Boat","","","Unknown","",""
"Armor","","","Unknown","",""
"Righteousness, Peace and Joy","","","Unknown","",""
"We Bring A Sacrifice Of Praise","","","Unknown","",""
"Another Year Is Dawning","","","Unknown","",""
"Sambhal Prabhu Ji","","","Unknown","",""
"2 - Gin gin ke stuti karoon (G)","","","Carl Boberg","",""
"2 - संभाल प्रभु जी जीवन के हर पल में","","","2","",""
"kings of kings majesty","","","Unknown","",""
"Chahe Anjeer Ke Ye Ped","","","Wilson George","",""
"siyyon ke safar","","","Unknown","",""
"Lord let me love when people are unthankful","","","Watchman Nee","",""
"2 - Us Kroos Ki Kya Baat he","","",".Hindi","",""
"Brother Let Me Be YOur Servant","","","Unknown","",""
"Burn Fire of God my ransomed soul","","","L. F. W. Woodford","",""
"Fear not, I am with you G)","","","Carl Boberg","",""
"1 - Jesus your the sweetest name of all (D)","","","Unknown","",""
"1 - How deep the Father's love for us (D-E)","","","Stuart Townsend","",""
"1 - Lord I Need You- Chris Tomlin","","","Chris Tomlin","",""
"Speak, O Lord","","","Keith Getty / Stuart Townend","",""
"What He did for Jesus","","","Zac Poonen","",""
" I will rejoice and praise the name of Jesus","","","Don Francisco","",""
"Apna Bojh Yeshu Par Dal (D)","","","Unknown","",""
"Jo Yeshu Ke Liye Kiya","","","Zac Poonen","",""
"Kids - His Banner Over Me His Love","","","Unknown","",""
"Come now is the time-Medley","Medley","","Carl Boberg","",""
"Maine Pooncha Prabhu Se (Hindi)","","","Hindi","",""
"Aaradhana teri aaradhana (C)","Tujhsa iss jahan mein aur koi hai nahi","","Anonymous","",""
"Jesus I am finished with the Lie","","","Unknown","",""
"Pavitr mujhe bana de prabhu","","","Unknown","",""
"CFC MN Song - 1","","","2","",""
"CFC MN Song - 2","","","2","",""
"CFC MN Song -3","","","2","",""
"CFC MN Song -4","","","2","",""
"All Glory Be To Christ Our King","","","2","",""
"CFC MN Song - 6","","","2","",""
"CFC MN Song - 7","","","2","",""
"CFC MN Song - 8","","","2","",""
"Jesus Strong and Kind","","","Unknown","",""
"I want to know","","","Unknown","",""
"SLCF Skit","","","unknow alice","",""
"MERE RAAFA","","","Unknown","",""
"Pavitra Mujhe Bana De Prabhu (Cm)","","","Paul Thomas Mathews","",""
"I Gave My Life For Thee","","","Frances Ridley Havergal","",""
"Stuti Ho Teri Yeshu","","","Unknown","",""
"We Are A Moment (C)","","","Unknown","",""
"I must tell Jesus","","","E. A. Hoffman (1894)","",""
"Reference","","","Bible","",""
"Walking with the Lord","","","Chris Tomlin | Unknown","",""
"2 - Prabhu Parmeshwar Tu Kitna","","","Carl Boberg","",""
"2 - Mushkile Kitne Bhi ho","","","Unknown","",""
"Jay Jay Prabhu Yeshu Ki","","","Unknown","",""
"Pranpriya Yeshu Raja","","","Unknown","",""
"new song","","","Unknown","",""
"Pavitra Mujhe Bana De Prabhu (Cm) <copy>","","","Paul Thomas Mathews","",""
"When Moses and His People","","","J. C. Addie","",""
"King of Kings,  Majesty (A) {HT}","","","Unknown","",""
"When Moses and His People {HT}","","","J. C. Addie","",""
"Yeshu Masih Mere Jaisa (Hum Gaaye Hosanna) (G) <NC version>","","",".Hindi","",""
"1 - Standing on the promises of Christ our King (G)","","","William Rees","",""
"Speak, O Lord, as we come to You","","Speak, O Lord lyrics © Thank You Music Ltd.","Keith Getty / Stuart Townend","",""
"2 - Karta hu main teri chinta","","","Unknown","",""
"Who is there like You","","Copyright © 1996 Thankyou Music/PRS. (adm. worldwide by worshiptogether.com Songsexcluding the UK and Europe which is adm. by Kingsway Music)","Paul Oakley","",""
"I will bless Thee O Lord (D)","","© Dawn Treader Music","Esther Watanabe","",""
"Majesty worship His majesty (A)","","Majesty lyrics © New Spring Publishing Inc.","Jack Williams Hayford","",""
"O what a wonderful wonderful day (D)","","","John W Peterson","",""
"New Song","","","Unknown","",""
"Let me ba a little kinder","","","Glen Campbell","",""
"1 - Lord I come before Your throne of grace (A)","","","Carl Boberg","",""
"All heaven declares (A)","","All Heaven Declares lyrics © Thank You Music Ltd.","Noel Richards, Tricia Richards","",""
"Wide, wide as the ocean (C)","","","Charles A. Miles","",""
"O Little One be welcome here","","","Unknown","",""
"Amazing Grace (My Chains Are Gone)","","","Unknown","",""
"All hail the pow’r of Jesus’ Name!","","Public Domain","Rich Mullins","",""
"Yet not I but through Christ in Me","","© 2018 CityAlight Music, Farren Love and War Publishing, Integrity's Alleluia! Music","Michael Farren, Rich Thompson, Jonny Robinson","",""
"2 - Saari Ashishon Ke Sare Dano Ke","","","Unknown","",""
"From the ends of the earth","","","Bob Fitts","",""
"Thank You For The Cross Lord","","2000 Darlene Zschech/Hillsong Publishing/Kingsway Music","Darlene Zschech","",""
"2 -Yeshu Masih tere jaisa (Hum gaaye hosanna) (G)","","","Unknown","",""
"Are You Lord God Almighty reigns (Agnus Dei)","","","Smith Michael Whitaker","",""
"Praise Him you heavens","","© Capitol Christian Music Group","Russell John Fragar","",""
"I will enter His gates (D)","","The Orchard Music (on behalf of Classic Fox Records); UMPI, Capitol CMG Publishing, and 6 Music Rights Societies","Leona Von Brethorst","",""
"1 - He poured in the oil and the wine (D)","","","Unknown","",""
"You Are Holy  ( D )","","","Joshua Aaron","",""
"Sone Chandi Se Bhi Zyada Keemati Tu  (G)","","","Arif Bhatti","",""
"Ho teri Stuti","","",".Hindi","",""
"1 - Ah Lord God (C)","","© 1976 by Kay Chance, GlaubenZentrum","Kay Chance","",""
"Alive,alive alive forevermore","","Alive, Alive lyrics © 9 Story Distribution International Ltd","Traditional / Stephen Marston","",""
"1 - Blessing and honor (B)","","© Integrity's Praise! Music, Integrity's Hosanna! Music","Gary Sadler / Jamie Harvill","",""
"Dil se Aradhana karun mei","","","Unknown","",""
"Endless Hallelujah","","Endless Hallelujah lyrics © BMG Rights Management, Capitol Christian Music Group, Capitol CMG Publishing, Universal Music Publishing Group","Chris Tomlin / Jonas Myrin / Matthew Redman / Timothy Wanstall","",""
"You are God Alone","","You Are God Alone lyrics © Capitol CMG Publishing, Integrity Music, Universal Music Publishing Group","Billy Foote / Cindy Foote","",""
"Aatma Prabhu Ka","","","Unknown","",""
"I'm rejoicing night and day (E) {HT}","","","Carl Boberg","",""
"A Christian home | O give us homes","","","Barbara B. Hart","",""
"New Song","","","Unknown","",""
"Wednesday Song","","","Unknown","",""
"O Lord My Rock and My Redeemer","","","Unknown","",""
"2 - Yeshu Kaisa Dost He Pyara (What a friend we have in Jesus)","What a friend we have in Jesus","","Joseph M. Scriven","",""
"In Christ Alone (G)","","2001 Thankyou Music","Stuart Townend & Keith Getty","",""
"There is a Redeemer (D)","","© Capitol Christian Music Group, Capitol CMG Publishing, Universal Music Publishing Group","Melody Green","",""
"1 - Bigger Than All My Problems (D)","","UMG (on behalf of Gaither Music Group, LLC); Capitol CMG Publishing, LatinAutorPerf, Adorando Brazil, and 7 Music Rights Societies","G. Jensen","",""
"2 - Prabhu ka Dhanyawad","","","Unknown","",""
"All heaven declares (A)","","All Heaven Declares lyrics © Thank You Music Ltd.","Noel Richards, Tricia Richards","",""
"Kings of kings, majesty","","","Jarrod Cooper","",""
"Every promise","","","Unknown","",""
"Clap your hands together and praise the Lord","","","Unknown","",""
"1 - How deep the Father's love for us (D-E)","","© Capitol Christian Music Group, Capitol CMG Publishing, Universal Music Publishing Group","Stuart Townend","",""
"2 - Gin gin ke stuti karoon (G)","","","J V Peter (Malayalam)","",""
"2 - Prabhu ka anand hei (D)","","","Carl Boberg","",""
"2 - Vo Kitna Gehraa Pyaar","","","Unknown","",""
"All heaven declares (A)","","All Heaven Declares lyrics © Thank You Music Ltd.","Noel Richards, Tricia Richards","",""
"I hear the Savior say","","©2006 Pay Me Please Publishing/Sixsteps Music, Worshiptogether.com Songs","Elvina M. Hall","",""
"Jab Bojh Se Dabe - When Bowed With Burdens and Care (Hindi)","","","Zac POONEN.","",""
"2 - Mere Yeshu Mere Yeshu Tere Je sa","","","Unknown","",""
"1 - When I look into Your holiness (C)","","© Integrity's Hosanna! Music","Kent Henry","",""
"We are a moment (C)","","Integrity’s Hosanna! Music©","Gary Sadler","",""
"Prabhu Mujhko Bana","","","Unknown","",""
"Yogya Kewal Tu (E)","","","Unknown","",""
"Prabhu ka dhanyavad karunga (C) Hindi","","","Unknown","",""
"I Give Glory To Your Name","","","Unknown","",""
"Zindagi Ke Safar Me","","","Unknown","",""
"Behold Our God","","Sovereign Grace Music","Jonathan Baird / Meghan Baird / Ryan Baird / Stephen Altrogge","",""
"I am not skilled to understand","","","Dora Greenwell (1821-82)","",""
"Holy Holy","","","Unknown","",""
"Ho Teri Stuti Aur Aaradhna","","","Unknown","",""
"Grace Greater Than Our Sin","","","Julia H Johnston","",""
"Dhanyavad Stuti Gaaye Hum Apne Prabhu Ki","","","Unknown","",""
"Namrata Se Rehna","","","Anthony Raj","",""
"Sab Samarth Se Upar (Above All Hindi)","","","Lenny Leblanc","",""
"Mai Kewal Tujhse Prem Karu","","","Unknown","",""
"Jesus Thank You","","","Pat Sczebel","",""
"From Prayer That Asks That I May Be","","","Amy Carmichael","",""
"Give of Your Best To The Master","","","Howard B.  Grose","",""
"My Heart Is Filled With Thankfulness","","","Keith Getty / Stuart Townend","",""
"How Rich A Treasure We Possess","","","Matt Boswell and Matt Papa","",""
"Come Thou Fount Of","","","Chris Rice","",""
"Medly","","","various","",""
"Great is Thy faithulness (D)","","","Thomas Obediah Chisholm","",""
"Yeshu mera charwaha Yeshua mera rakhwala","","","Unknown","",""
"When life’s cares bear down on me","","Stifilsen Skjulte Skatters Forlag©","Ingrid Bekkevold","",""
"Pehle Uske Rajya Ki Khoj Karo","","","Unknown","",""
"I am not my own","","","Skye Peterson","",""
"Fellowship O How Sweet","","","Newton","",""
"Prabhuchi Daya Kadhihi The steadfast love of the Lord never ceases <Marathi>","","","Carl Boberg","",""
"Yeshu Sarva Naamo Me (Jesus name above all names (D) <Hindi>)","","","Carl Boberg","",""
"Khul Jayegi Kitaabein","","","Asshur Wilson","",""
"Aasha Meri (Living Hope Hindi)","","","Phil Wickham","",""
"mujh me Yeshu","","","Unknown","",""
"Dhanyavad ke saath stuti gaunga (C) Hindi","","","Hindi","",""
"Living Hope","","","Brian Johnson | Phil Wicham","",""
"All My Ways Are Known to You","","© Farren Love And War Publishing, Integrity's Praise! Music, Integrity's Alleluia! Music, Cityalight Music","Rich Thompson / Dustin Smith / Michael Ray Farren / Jonny Robinson","",""
"2 - Mera Ek hi Mitra","","","William Charles Fry (English)","",""
"Lord I stand in the midst","","","Don Moen / Debbye C Graafsma","",""
"2 - Maine Pucha Prabhu se","","","Unknown","",""
"My God Is All I Need / My God Is so Big","","","CityAlight","",""
"Aao Uski Kare Aaradhna (O Come Let Us Adore Him)","","","Unknown","",""
"I Will Enter His Gates (Medley) (C) <Hindi Only>","","","Unknown","",""
"Us Masih Ka Hum Naman","","","Shishya Thompson","",""
"He came to live (D)","","","Tommy Walker © 1999 Doulos Publishing/We Mobile Music ","",""
"'Tis so sweet to trust in Jesus","","","Louisa M. R. Stead - Public Domain","",""
"Mera Yishu hai mujko bhala","","","Mathai C Samkutty (Malayalam)","",""
